lokasi,status,tipe,id_daftar_sekolah,id_prodi_pilihan_1,id_prodi_pilihan_2,avg_nilai_uan,avg_nilai_raport,is_diterima
1,0,1,55,9,10,0.0,0,0
0,1,0,1413,9,4,0.0,0,0
1,0,0,1027,9,1,0.0,0,0
0,1,1,94,8,9,59.0,0,0
0,0,1,1415,8,9,0.0,0,0
1,0,1,24,7,9,53.0,0,0
1,0,1,26,9,1,0.0,0,0
1,0,1,1422,9,10,0.0,0,0
0,0,1,77,9,1,0.0,0,0
1,1,1,1427,3,9,0.0,0,0
0,1,1,184,9,10,0.0,0,0
1,1,1,57,4,9,0.0,0,0
0,1,1,490,9,3,0.0,0,0
1,1,1,434,3,9,0.0,0,0
1,0,1,1415,8,9,53.0,0,0
0,1,1,845,7,9,0.0,0,0
0,1,1,95,7,9,0.0,0,0
0,1,1,144,7,9,0.0,0,0
1,0,1,984,9,1,0.0,0,0
0,0,1,1083,9,1,0.0,0,0
1,1,1,522,5,9,65.0,0,0
1,0,1,185,9,1,0.0,0,0
0,0,1,2213,9,3,24.0,0,0
0,1,1,472,9,1,0.0,0,0
0,1,1,461,4,9,0.0,0,0
0,1,1,145,6,9,0.0,0,0
1,1,1,72,10,9,0.0,0,0
0,0,1,735,9,8,0.0,0,0
0,1,0,1223,7,9,0.0,0,0
0,0,1,105,7,9,0.0,0,0
0,0,1,645,7,9,0.0,0,0
0,1,0,2279,10,9,0.0,0,0
0,1,1,878,4,9,0.0,0,0
0,1,1,426,3,9,0.0,0,0
