id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
649,SMA NEGERI 1 TANJUNGPANDAN,NEGERI,33411,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,141
650,SMA NEGERI 1 HALMAHERA BARAT,NEGERI,97752,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,442
651,SMA NEGERI 1 PAJANGAN,NEGERI,55751,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,214
652,SMA NEGERI 1 BARUSJAHE,NEGERI,22172,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,52
653,SMA NEGERI 4 SINTANG,NEGERI,78613,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,296
654,SMA NEGERI 1 KARAWANG ,NEGERI,41312,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,162
655,SMA NEGERI 1 KEI KECIL,NEGERI,97611,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,432
656,SMA NEGERI 1 TAYU,NEGERI,59155,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,194
657,SMA DHARMA AYU,SWASTA,85617,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,281
658,SMK NEGERI 2 TAMIANG LAYANG,NEGERI,73671,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,311
659,SMK NEGERI 1 MAGELANG,NEGERI,56123,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,184
660,SMA ASISI SANTO FRANSISKUS JAKARTA PUSAT,SWASTA,10430,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,159
661,ESKOLA TECNICA I,SWASTA,1,LUAR NEGERI,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,2
662,SMA NEGERI 1 LEMBO,NEGERI,94966,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,373
663,SMA NEGERI 5 SAMARINDA,NEGERI,75124,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,336
664,SMA BUKIT ASAM,SWASTA,31711,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,109
665,SMA NEGERI 1 HALMAHERA TIMUR,NEGERI,97762,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,451
666,SMK KRISTEN PEDAN,SWASTA,57468,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,204
667,SMA NEGERI 6 TIMIKA,NEGERI,99971,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,470
668,SMA NEGERI 1 BAJAWA,NEGERI,86415,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,280
669,SMA NEGERI BANYUMAS,NEGERI,53192,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,190
670,SMA NEGERI 2 SIPORA,NEGERI,25392,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,77
671,SMA PSKD VII DEPOK,SWASTA,16436,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,161
672,SMA KATOLIK ANDALURI,SWASTA,87111,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,288
673,SMK NEGERI 2 WEWEWA BARAT,NEGERI,87253,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,285
674,SMA NEGERI 7 BERAU,NEGERI,77313,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,339
675,SMA NEGERI 4 PONTIANAK,NEGERI,78114,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,299
676,SMA NEGERI 80 JAKARTA,NEGERI,14350,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,155
677,SMA NEGERI 1 BUNGARAN TENGAH,NEGERI,29783,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,148
